,alpha,beta,delta
0,9.186554640128186e-08,1.0936374571581173e-07,3.30715065672805e-09
1,5.534460518313145e-07,6.588643474182315e-07,1.8988458605888327e-08
2,1.3580173583157256e-06,1.6166873313282445e-06,4.573809358010153e-08
3,2.4323442608041752e-06,2.8956479295287798e-06,8.176043106567465e-08
4,3.298069126807199e-06,3.9262727700085695e-06,1.1082490541063913e-07
5,3.6934497893822505e-06,4.39696403497887e-06,1.2343915076362285e-07
6,3.72855941766969e-06,4.438761211511536e-06,1.2446168776365412e-07
7,3.930144287787649e-06,4.678743199747202e-06,1.2969598697856292e-07
8,2.1174172545777726e-06,2.5207348268783e-06,7.112631930979467e-08
9,1.3865887294921544e-06,1.650700868443041e-06,4.626082295050804e-08
10,8.146681831022657e-07,9.698430751217448e-07,2.7094065869109467e-08
11,3.814478629277798e-07,4.541045987235474e-07,1.2918555719793475e-08
12,6.085860047269535e-08,7.245071484844683e-08,2.117308282901109e-09
13,1.0945716572897892e-08,1.3030614967735586e-08,3.9802005386481333e-10
14,2.314241871449986e-09,2.755049846964269e-09,8.48622079232943e-11
